,_cumulative_episode,_episode,_season,twss_count,first_episode,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,last_episode,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
24,24.0,19.0,2.0,0.0,0.0,1271.0,160.0,188.0,497.0,24.0,18.0,31.0,77.0,90.0,25.0,0.0,64.0,46.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25.0,20.0,2.0,0.0,0.0,1026.0,230.0,341.0,835.0,0.0,42.0,43.0,36.0,20.0,49.0,0.0,50.0,149.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26.0,21.0,2.0,1.0,0.0,1463.0,370.0,227.0,353.0,0.0,24.0,109.0,103.0,22.0,17.0,0.0,279.0,18.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27.0,22.0,2.0,0.0,0.0,1309.0,446.0,378.0,308.0,276.0,18.0,29.0,44.0,120.0,19.0,83.0,76.0,8.0,1.0,74.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28.0,1.0,3.0,1.0,1.0,1112.0,124.0,120.0,175.0,141.0,45.0,230.0,48.0,4.0,23.0,56.0,108.0,11.0,11.0,0.0,0.0,40.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29.0,2.0,3.0,0.0,0.0,1438.0,276.0,202.0,233.0,120.0,11.0,0.0,99.0,19.0,36.0,0.0,33.0,106.0,6.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30.0,3.0,3.0,0.0,0.0,909.0,241.0,268.0,776.0,235.0,21.0,0.0,126.0,36.0,10.0,9.0,0.0,64.0,0.0,0.0,0.0,43.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31.0,4.0,3.0,0.0,0.0,1756.0,228.0,470.0,490.0,154.0,35.0,0.0,41.0,93.0,151.0,122.0,146.0,49.0,8.0,0.0,0.0,53.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32.0,5.0,3.0,1.0,0.0,599.0,317.0,407.0,990.0,83.0,105.0,0.0,20.0,49.0,500.0,0.0,1.0,57.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33.0,6.0,3.0,0.0,0.0,1256.0,135.0,168.0,73.0,88.0,4.0,0.0,100.0,102.0,62.0,7.0,12.0,195.0,21.0,0.0,0.0,8.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34.0,7.0,3.0,0.0,0.0,758.0,295.0,183.0,311.0,358.0,24.0,0.0,45.0,58.0,134.0,59.0,55.0,48.0,0.0,29.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35.0,8.0,3.0,0.0,0.0,1961.0,500.0,361.0,647.0,52.0,51.0,0.0,37.0,151.0,63.0,0.0,91.0,59.0,64.0,0.0,0.0,10.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36.0,9.0,3.0,0.0,0.0,1194.0,312.0,90.0,60.0,61.0,5.0,0.0,97.0,78.0,14.0,0.0,77.0,0.0,5.0,0.0,0.0,24.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37.0,10.0,3.0,1.0,0.0,1697.0,501.0,495.0,763.0,0.0,58.0,9.0,799.0,163.0,205.0,54.0,120.0,231.0,10.0,47.0,0.0,74.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38.0,11.0,3.0,0.0,0.0,1534.0,269.0,423.0,476.0,231.0,93.0,0.0,65.0,113.0,49.0,73.0,91.0,17.0,41.0,46.0,0.0,51.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39.0,12.0,3.0,1.0,0.0,556.0,295.0,37.0,439.0,30.0,74.0,0.0,169.0,41.0,63.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40.0,13.0,3.0,0.0,0.0,608.0,131.0,57.0,255.0,0.0,8.0,97.0,118.0,22.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,15.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41.0,14.0,3.0,0.0,0.0,1077.0,176.0,255.0,207.0,43.0,5.0,0.0,36.0,31.0,31.0,27.0,0.0,37.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42.0,15.0,3.0,0.0,0.0,965.0,181.0,105.0,283.0,0.0,4.0,0.0,25.0,89.0,0.0,109.0,5.0,64.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43.0,16.0,3.0,0.0,0.0,1301.0,179.0,200.0,343.0,0.0,13.0,64.0,32.0,37.0,149.0,70.0,61.0,129.0,97.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44.0,17.0,3.0,2.0,0.0,954.0,200.0,252.0,274.0,538.0,47.0,7.0,17.0,62.0,98.0,215.0,27.0,31.0,7.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45.0,18.0,3.0,0.0,0.0,1309.0,340.0,142.0,344.0,308.0,36.0,62.0,61.0,59.0,55.0,136.0,124.0,207.0,0.0,413.0,0.0,67.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
