,_cumulative_episode,_episode,_season,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
27,27.0,22.0,2.0,103.0,52.0,45.0,34.0,40.0,3.0,4.0,5.0,16.0,1.0,11.0,5.0,1.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28.0,1.0,3.0,63.0,13.0,12.0,18.0,12.0,1.0,17.0,4.0,1.0,1.0,4.0,10.0,1.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29.0,2.0,3.0,122.0,32.0,30.0,44.0,15.0,1.0,0.0,10.0,3.0,8.0,0.0,6.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30.0,3.0,3.0,83.0,17.0,20.0,77.0,28.0,3.0,0.0,13.0,5.0,1.0,2.0,0.0,8.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31.0,4.0,3.0,106.0,19.0,34.0,40.0,17.0,6.0,0.0,7.0,9.0,7.0,15.0,10.0,5.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32.0,5.0,3.0,44.0,47.0,56.0,57.0,11.0,9.0,0.0,4.0,4.0,43.0,0.0,1.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33.0,6.0,3.0,77.0,20.0,26.0,8.0,12.0,1.0,0.0,10.0,9.0,12.0,1.0,2.0,20.0,2.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34.0,7.0,3.0,67.0,21.0,22.0,38.0,32.0,1.0,0.0,7.0,12.0,7.0,4.0,3.0,2.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35.0,8.0,3.0,149.0,81.0,45.0,84.0,6.0,4.0,0.0,7.0,21.0,11.0,0.0,16.0,6.0,11.0,0.0,2.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36.0,9.0,3.0,54.0,31.0,16.0,4.0,7.0,2.0,0.0,10.0,13.0,3.0,0.0,4.0,0.0,1.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
